"filename", "language", "Java", "JSON with Comments", "Markdown", "JSON", "comment", "blank", "total"
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\sysid\VelocityProfiler.java", "Java", 35, 0, 0, 0, 28, 9, 72
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\telemetry\Alert.java", "Java", 76, 0, 0, 0, 44, 15, 135
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\telemetry\AlertCommand.java", "Java", 26, 0, 0, 0, 11, 10, 47
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\telemetry\CustomLayout.java", "Java", 58, 0, 0, 0, 6, 15, 79
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\telemetry\TelemetrySubsystem.java", "Java", 29, 0, 0, 0, 3, 8, 40
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\telemetry\WidgetsAndLayouts.java", "Java", 33, 0, 0, 0, 2, 15, 50
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\util\Conversions.java", "Java", 39, 0, 0, 0, 42, 11, 92
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\util\GeomUtil.java", "Java", 42, 0, 0, 0, 65, 12, 119
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\util\Network.java", "Java", 57, 0, 0, 0, 16, 6, 79
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\util\Rmath.java", "Java", 123, 0, 0, 0, 32, 22, 177
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\util\Util.java", "Java", 75, 0, 0, 0, 26, 22, 123
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\vision\CircleFitter.java", "Java", 54, 0, 0, 0, 5, 9, 68
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\vision\Controller.java", "Java", 6, 0, 0, 0, 0, 4, 10
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\lib\vision\LLDistance.java", "Java", 22, 0, 0, 0, 4, 3, 29
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\Main.java", "Java", 8, 0, 0, 0, 13, 5, 26
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\Robot.java", "Java", 217, 0, 0, 0, 63, 62, 342
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\RobotConfig.java", "Java", 50, 0, 0, 0, 17, 16, 83
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\RobotTelemetry.java", "Java", 94, 0, 0, 0, 34, 31, 159
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\Layouts.md", "Markdown", 0, 0, 53, 0, 0, 11, 64
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\operator\OperatorGamepad.java", "Java", 49, 0, 0, 0, 13, 17, 79
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\operator\OperatorGamepadConfig.java", "Java", 17, 0, 0, 0, 0, 5, 22
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\operator\OperatorGamepadTelemetry.java", "Java", 5, 0, 0, 0, 0, 5, 10
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\operator\commands\OperatorGamepadCmds.java", "Java", 83, 0, 0, 0, 5, 11, 99
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepad.java", "Java", 133, 0, 0, 0, 34, 29, 196
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadConfig.java", "Java", 36, 0, 0, 0, 8, 8, 52
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\pilot\PilotGamepadTelemetry.java", "Java", 81, 0, 0, 0, 6, 19, 106
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\XBoxCtrlrs\pilot\commands\PilotGamepadCmds.java", "Java", 42, 0, 0, 0, 9, 12, 63
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\auto\Auto.java", "Java", 230, 0, 0, 0, 35, 45, 310
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\auto\AutoConfig.java", "Java", 38, 0, 0, 0, 4, 10, 52
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\auto\comands\AutoCmds.java", "Java", 133, 0, 0, 0, 33, 20, 186
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\auto\comands\DelayCmd.java", "Java", 36, 0, 0, 0, 0, 10, 46
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\AlignmentController.java", "Java", 61, 0, 0, 0, 6, 14, 81
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\DrivetrainOdometry.java", "Java", 39, 0, 0, 0, 8, 10, 57
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\DrivetrainSubSys.java", "Java", 127, 0, 0, 0, 58, 37, 222
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\DrivetrainTelemetry.java", "Java", 61, 0, 0, 0, 13, 15, 89
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\OdometryThread.java", "Java", 211, 0, 0, 0, 175, 67, 453
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\PigeonGyro.java", "Java", 20, 0, 0, 0, 8, 12, 40
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\RotationController.java", "Java", 50, 0, 0, 0, 6, 14, 70
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\SwerveModule.java", "Java", 147, 0, 0, 0, 111, 50, 308
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\commands\DrivetrainCmds.java", "Java", 16, 0, 0, 0, 11, 7, 34
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\commands\SwerveDriveCmd.java", "Java", 88, 0, 0, 0, 23, 17, 128
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\config\AngleFalconConfig.java", "Java", 49, 0, 0, 0, 21, 13, 83
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\config\CanCoderConfig.java", "Java", 13, 0, 0, 0, 6, 5, 24
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\config\DriveFalconConfig.java", "Java", 44, 0, 0, 0, 16, 12, 72
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\drivetrain\config\DrivetrainConfig.java", "Java", 89, 0, 0, 0, 60, 26, 175
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\climber\ClimberConfig.java", "Java", 56, 0, 0, 0, 12, 18, 86
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\climber\ClimberSubSys.java", "Java", 146, 0, 0, 0, 45, 43, 234
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\climber\ClimberTelemetry.java", "Java", 14, 0, 0, 0, 4, 8, 26
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\climber\commands\ClimberCmds.java", "Java", 20, 0, 0, 0, 5, 6, 31
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\intake\IntakeConfig.java", "Java", 33, 0, 0, 0, 9, 12, 54
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\intake\IntakeSubSys.java", "Java", 91, 0, 0, 0, 19, 21, 131
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\intake\IntakeTelemetry.java", "Java", 13, 0, 0, 0, 0, 4, 17
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\intake\commands\IntakeCmds.java", "Java", 47, 0, 0, 0, 23, 11, 81
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\leds\LEDsConfig.java", "Java", 103, 0, 0, 0, 22, 19, 144
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\leds\LEDsSubSys.java", "Java", 517, 0, 0, 0, 153, 56, 726
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\leds\LEDstrip.java", "Java", 35, 0, 0, 0, 7, 9, 51
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\passthrough\PassthroughConfig.java", "Java", 26, 0, 0, 0, 10, 11, 47
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\passthrough\PassthroughSubSys.java", "Java", 60, 0, 0, 0, 16, 16, 92
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\passthrough\PassthroughTelemetry.java", "Java", 10, 0, 0, 0, 0, 5, 15
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\passthrough\commands\PassthroughCmds.java", "Java", 23, 0, 0, 0, 25, 10, 58
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\pivot\PivotConfig.java", "Java", 28, 0, 0, 0, 5, 14, 47
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\pivot\PivotSRXConfig.java", "Java", 31, 0, 0, 0, 6, 13, 50
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\pivot\PivotSubSys.java", "Java", 174, 0, 0, 0, 29, 48, 251
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\pivot\PivotTelemetry.java", "Java", 17, 0, 0, 0, 2, 7, 26
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\pivot\commands\PivotCmds.java", "Java", 51, 0, 0, 0, 9, 12, 72
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\rotarySwitch\RotarySwitchConfig.java", "Java", 16, 0, 0, 0, 0, 10, 26
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\rotarySwitch\RotarySwitchSubSys.java", "Java", 30, 0, 0, 0, 1, 7, 38
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\rotarySwitch\RotarySwitchTelemetry.java", "Java", 11, 0, 0, 0, 3, 6, 20
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\shooter\ShooterConfig.java", "Java", 8, 0, 0, 0, 5, 8, 21
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\shooter\ShooterFalconConfigs.java", "Java", 33, 0, 0, 0, 10, 11, 54
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\shooter\ShooterSubSys.java", "Java", 95, 0, 0, 0, 21, 31, 147
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\shooter\ShooterTelemetry.java", "Java", 15, 0, 0, 0, 3, 7, 25
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\mechanisms\shooter\commands\ShooterCmds.java", "Java", 28, 0, 0, 0, 7, 8, 43
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\vision\VisionConfig.java", "Java", 50, 0, 0, 0, 5, 14, 69
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\vision\VisionPhotonCamera.java", "Java", 150, 0, 0, 0, 24, 32, 206
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\robot\vision\VisionSubSys.java", "Java", 150, 0, 0, 0, 64, 53, 267
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\util\DriveState.java", "Java", 12, 0, 0, 0, 4, 4, 20
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\util\FieldConstants.java", "Java", 25, 0, 0, 0, 2, 10, 37
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\util\MacAddressUtilJITB.java", "Java", 31, 0, 0, 0, 2, 5, 38
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\util\PathTrajectories.java", "Java", 12, 0, 0, 0, 8, 9, 29
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\util\PoseAndTimestamp.java", "Java", 20, 0, 0, 0, 0, 7, 27
"c:\Workspace\Robot\Kachow2024Ver05\src\main\java\frc\util\Rmath.java", "Java", 123, 0, 0, 0, 32, 22, 177
"Total", "-", 7719, 36, 53, 1, 2605, 2014, 12428
